Team,Save %,Skating Distance Penalty Killing (Total),Skating Distance Penalty Killing (per 60),Skating Distance Penalty Killing (per PIM),Penalty Kill %,Net Penalty Kill %,Net PK vs PK Difference,PIM,SHG,GA,GA/GP,SA/GP,Power Play%
Anaheim Ducks,0.894,406.2,9.45,0.366606498,72.4,76.1,3.7,1108,12,293,3.573170732,32.5,17.9
Arizona Coyotes,0.901,345.69,9.66,0.366197034,76.3,79,2.7,944,7,274,3.341463415,31.7,22
Boston Bruins,0.915,374.77,10.22,0.486714286,82.5,85.1,2.6,770,7,221,2.695121951,30.5,22.2
Buffalo Sabres,0.903,326.87,9.97,0.416394904,79.8,82.7,2.9,785,7,243,2.963414634,29.3,16.6
Calgary Flames,0.897,322.13,10.12,0.425535007,80.8,85.3,4.5,757,11,267,3.256097561,29.7,17.9
Carolina Hurricanes,0.905,384.68,10.5,0.555093795,86.4,90.7,4.3,693,11,211,2.573170732,25.6,26.9
Chicago Blackhawks,0.897,323.49,10.42,0.452433566,75.8,77.1,1.3,715,3,289,3.524390244,32.7,16.6
Colorado Avalanch,0.902,350.64,9.83,0.479671683,79.9,82.6,2.7,731,7,252,3.073170732,29.8,24.5
Columbus Blue Jackets,0.9,292.04,9.26,0.435880597,76.3,78.4,2.1,670,5,298,3.634146341,34.4,15.1
Dallas Stars,0.904,323.86,10.06,0.584584838,82,87,5,554,12,232,2.829268293,28.7,24.2
Detroit Red Wings,0.902,293.9,9.41,0.416288952,79.6,82.5,2.9,706,7,273,3.329268293,32.4,23.1
Edmonton Oilers,0.904,357.32,10.43,0.458102564,79.5,82.2,2.7,780,7,236,2.87804878,28.1,26.3
Florida Panthers,0.918,424.85,10.4,0.384132007,82.5,85.2,2.7,1106,8,198,2.414634146,27.8,23.5
Los Angeles Kings,0.912,337.52,9.36,0.472055944,84.6,88.9,4.3,715,11,210,2.56097561,28,22.6
Minnesota Wild,0.897,321.7,9.14,0.342963753,74.5,75.7,1.2,938,3,260,3.170731707,29.7,22.7
Montreal Canadiens,0.902,344.15,9.26,0.417151515,76.5,79,2.5,825,7,281,3.426829268,33.4,17.5
Nashville Predators,0.907,342.72,10.02,0.441649485,76.9,79.8,2.9,776,7,258,3.146341463,30.6,21.6
New Jersey Devils,0.896,322.27,9.76,0.431419009,80.7,81.9,1.2,747,3,226,2.756097561,30,22.5
New York Islanders,0.911,271.4,9.42,0.463139932,71.5,76,4.5,586,10,281,3.426829268,32.8,20.4
New York Rangers,0.912,334.19,10.24,0.437994758,84.5,87.9,3.4,763,8,248,3.024390244,29.5,26.4
Ottawa Senators,0.888,296.17,9.72,0.350497041,75.1,78,2.9,845,7,281,3.426829268,29.7,18
Philedelphia Flyers,0.889,342.78,10.35,0.412987952,83.4,90,6.6,830,16,258,3.146341463,27.1,12.2
Pittsburgh Penguins,0.903,344.77,10.38,0.571757877,80.7,82.7,2,603,5,248,3.024390244,30.2,15.3
San Jose Sharks,0.892,309.08,9.1,0.39625641,75.4,76.6,1.2,780,3,326,3.975609756,35.1,20.2
Seattle Kraken,0.909,288.41,9.45,0.441669219,78.8,81.5,2.7,653,6,232,2.829268293,29.2,20.7
St. Louis Blues,0.913,291.66,9.65,0.479703947,79.1,84.2,5.1,608,11,248,3.024390244,32.1,18
Tampa Bay Lightning,0.896,315.63,9.61,0.350310766,83.3,85.5,2.2,901,5,267,3.256097561,29.6,28.6
Toronto Maple Leafs,0.898,312.43,9.96,0.383349693,76.9,79.4,2.5,815,6,261,3.182926829,29.8,24
Vancouver Canucks,0.909,335.47,9.49,0.439096859,79.1,81.9,2.8,764,7,221,2.695121951,28.6,22.7
Vegas Golden Knights,0.907,300.58,9.79,0.513811966,79.3,83.6,4.3,585,9,243,2.963414634,30.3,20.2
Washington Capitals,0.903,317.85,9.91,0.506130573,79,80.3,1.3,628,3,252,3.073170732,30.5,20.6
Winnipeg Jets,0.923,297.06,9.42,0.4507739,77.1,78.5,1.4,659,3,198,2.414634146,29.6,18.8
Anaheim Ducks,0.899,329.07,9.46,0.354219591,72.1,72.5,0.4,929,1,335,4.09,39.1,15.7
Arizona Coyotes,0.9,415.51,9.63,0.427479424,74.6,76.2,1.6,972,5,295,3.6,35,18.9
Boston Bruins,0.931,393.9,10.31,0.457491289,87.3,90.1,2.8,861,8,174,2.12,29.8,22.2
Buffalo Sabres,0.896,304.89,10.49,0.501463816,73,77,4,608,9,297,3.62,33,23.4
Calgary Flames,0.893,404.04,10.91,0.533738441,82.6,85.6,3,757,8,247,3.01,27.3,19.8
Carolina Hurricanes,0.907,377.03,10.59,0.614055375,84.4,88.7,4.3,614,11,210,2.56,26,19.8
Chicago Blackhawks,0.898,314.62,10.31,0.445007072,76.2,79.2,3,707,7,299,3.65,33.6,16.4
Colorado Avalanche,0.917,325.98,9.83,0.482933333,79,81.5,2.5,675,6,223,2.72,31,24.5
Columbus Blue Jackets,0.891,306.64,9.94,0.468868502,75.1,77.2,2.1,654,5,329,4.01,35.4,18.3
Dallas Stars,0.916,350.89,9.99,0.550847724,83.5,87.6,4.1,637,10,215,2.62,29.9,25
Detroit Red Wings,0.894,320.92,9.73,0.484773414,78.3,80.3,2,662,5,275,3.35,30.4,21.1
Edmonton Oilers,0.903,375.97,9.97,0.532535411,77,83.5,6.5,706,18,256,3.12,31.4,32.4
Florida Panthers,0.903,389.97,9.97,0.390751503,76,78,2,998,6,272,3.32,31.7,22.8
Los Angeles Kings,0.892,328.53,9.62,0.467325747,75.8,78.4,2.6,703,7,254,3.1,27.9,25.3
Minnesota Wild,0.919,351.27,9.99,0.379751351,82,87.5,5.5,925,14,219,2.67,31.1,21.4
Montréal Canadiens,0.895,337.37,9.65,0.353267016,72.7,75.6,2.9,955,8,305,3.72,33.6,16.1
Nashville Predators,0.918,357.85,9.79,0.452402023,82.6,84.7,2.1,791,6,236,2.88,33.3,17.6
New Jersey Devils,0.908,312.56,9.52,0.494556962,82.6,86.5,3.9,632,9,222,2.71,28.2,21.9
New York Islanders,0.921,301.67,9.78,0.459862805,82.2,84.9,2.7,656,6,217,2.65,31,15.8
New York Rangers,0.912,303.73,9.87,0.485968,81.2,84.8,3.6,625,8,216,2.63,29.3,24.1
Ottawa Senators,0.9,412.4,9.98,0.401557936,80.1,83.1,3,1027,9,270,3.29,31.4,23.5
Philadelphia Flyers,0.9,314.37,9.88,0.367684211,74.7,79.4,4.7,855,11,276,3.37,31.5,15.6
Pittsburgh Penguins,0.907,352.95,10.23,0.500638298,79.1,81,1.9,705,5,263,3.21,32.8,21.7
San Jose Sharks,0.887,328.87,9.66,0.493058471,82.4,84,1.6,667,4,315,3.84,32.2,18.4
Seattle Kraken,0.89,323.5,10.07,0.463467049,76.7,79.2,2.5,698,6,252,3.07,27,19.8
St. Louis Blues,0.895,281.24,9.62,0.43875195,72.4,75.6,3.2,641,7,298,3.63,32.3,19.3
Tampa Bay Lightning,0.909,337,9.78,0.338693467,79.7,82.4,2.7,995,7,252,3.07,31.5,25.4
Toronto Maple Leafs,0.912,364.66,10.31,0.527727931,81.9,85.1,3.2,691,8,220,2.68,29.5,26
Vancouver Canucks,0.888,297.75,9.69,0.405653951,71.6,77.8,6.2,734,15,296,3.61,30.8,22.7
Vegas Golden Knights,0.915,240.41,9.39,0.408166384,77.4,82.6,5.2,589,10,225,2.74,30.9,20.3
Washington Capitals,0.905,297.32,9.8,0.416998597,81.9,83.6,1.7,713,4,261,3.18,31.1,21.2
Winnipeg Jets,0.916,320.55,9.74,0.458583691,82.4,85.4,3,699,7,224,2.73,30.3,19.3
Anaheim Ducks,0.907,300.98,5.71,0.39654809,80.8,83.5,2.7,759,6,266,3.24,33.2,21.9
Arizona Coyotes,0.897,314.18,5.37,0.37402381,75,76.2,1.2,840,3,309,3.77,35.5,13.9
Boston Bruins,0.913,365.07,7.07,0.451260816,81.3,83.2,1.9,809,5,218,2.66,28.7,21.2
Buffalo Sabres,0.899,301.27,6.07,0.45167916,76.4,79.3,2.9,667,6,287,3.5,33,21.2
Calgary Flames,0.918,363.04,6.33,0.487956989,83.2,86,2.8,744,7,206,2.51,29,22.9
Carolina Hurricanes,0.916,430.89,6.31,0.568456464,88,89.5,1.5,758,4,200,2.44,28.2,22
Chicago Blackhawks,0.899,296.34,6.31,0.45873065,76.2,77.1,0.9,646,2,289,3.52,33,19.2
Colorado Avalanche,0.916,322.49,6.77,0.434622642,79.7,82.2,2.5,742,6,232,2.83,32,24
Columbus Blue Jackets,0.901,333.27,6.27,0.524834646,78.6,81.5,2.9,635,7,297,3.62,35.2,18.6
Dallas Stars,0.911,284.67,6.05,0.516642468,79,82.2,3.2,551,7,244,2.98,31,22.4
Detroit Red Wings,0.897,283.91,5.9,0.387326057,73.8,75.6,1.8,733,4,310,3.78,33.7,16.3
Edmonton Oilers,0.908,353.53,6.26,0.530825826,79.4,83.7,4.3,666,11,251,3.06,32.3,26
Florida Panthers,0.907,370.16,6.73,0.444903846,79.5,84.2,4.7,832,12,242,2.95,30.7,24.4
Los Angeles Kings,0.905,318.81,6.48,0.502062992,76.7,81.5,4.8,635,11,232,2.83,28.5,16.1
Minnesota Wild,0.911,348.19,5.65,0.394773243,76.1,76.9,0.8,882,2,249,3.04,31.4,20.5
Montréal Canadiens,0.894,357.27,6.72,0.427356459,75.6,77.7,2.1,836,6,317,3.87,34.4,13.7
Nashville Predators,0.911,349.52,5.93,0.337700483,79.2,79.9,0.7,1035,2,250,3.05,32.3,24.4
New Jersey Devils,0.886,295.04,5.96,0.441676647,80.2,83,2.8,668,6,302,3.68,31,15.6
New York Islanders,0.92,286.55,6.85,0.393072702,84.2,86.5,2.3,729,5,231,2.82,32.5,22.1
New York Rangers,0.921,320.02,6.54,0.474103704,82.3,85.8,3.5,675,8,204,2.49,30.8,25.2
Ottawa Senators,0.909,345.35,6.64,0.42013382,80.3,83.9,3.6,822,9,264,3.22,33.4,19.3
Philadelphia Flyers,0.903,307.78,5.81,0.416481732,75.7,78.3,2.6,739,6,294,3.59,34,12.6
Pittsburgh Penguins,0.919,298.05,6.04,0.526590106,84.4,85.9,1.5,566,3,222,2.71,31.4,20.2
San Jose Sharks,0.908,319.57,6.39,0.440786207,85.2,87,1.8,725,4,261,3.18,32,19
Seattle Kraken,0.89,303.97,7.03,0.434242857,74.9,78.5,3.6,700,8,284,3.46,28.9,14.6
St. Louis Blues,0.912,304.05,5.81,0.497626841,84.1,88.2,4.1,611,9,239,2.91,31.6,27
Tampa Bay Lightning,0.913,338.8,6.03,0.376026637,80.6,83.3,2.7,901,7,228,2.78,29.8,23.9
Toronto Maple Leafs,0.904,332.34,6.67,0.473418803,82.1,87.6,5.5,702,13,252,3.07,30.6,27.3
Vancouver Canucks,0.915,309.17,6.12,0.472015267,74.9,77.1,2.2,655,5,231,2.82,31.9,23.5
Vegas Golden Knights,0.906,280.46,5.45,0.449455128,77.4,82.2,4.8,624,10,244,2.98,30,18.4
Washington Capitals,0.902,297.86,6.16,0.472044374,80.4,84,3.6,631,8,242,2.95,29,18.8
Winnipeg Jets,0.913,302.37,6.28,0.418795014,75,78.9,3.9,722,9,253,3.09,33.2,21.1
